,fecha_venta,antiguedad_propiedad,distancia_al_metro,tiendas_cercanas,latitud,longitud,precio_uf_m2
0,2013.3329999999999,10.8,252.5822,1.0,-33.46459999999999,-70.63046,117.5
1,2013.3329999999999,37.2,186.5101,9.0,-33.467029999999994,-70.64264999999997,78.3
2,2013.5829999999999,35.4,318.5292,9.0,-33.46070999999999,-70.64068999999998,78.0
3,2013.4170000000001,0.0,292.9978,6.0,-33.46744,-70.64457999999998,73.6
4,2012.8329999999999,0.0,292.9978,6.0,-33.46744,-70.64457999999998,71.0
5,2013.25,0.0,292.9978,6.0,-33.46744,-70.64457999999998,70.1
6,2013.3329999999999,0.0,292.9978,6.0,-33.46744,-70.64457999999998,69.7
7,2013.25,40.9,122.3619,8.0,-33.457559999999994,-70.64229999999998,67.7
8,2013.5,15.3,370.0,1.0,,,66.0
9,2012.833,15.3,370.0,1.0,,,66.0
10,2013.5,6.5,90.45606,9.0,-33.46432999999999,-70.64309999999998,63.9
11,2013.4170000000001,0.0,292.9978,6.0,-33.46744,-70.64457999999998,63.3
12,2013.0829999999999,41.4,281.205,8.0,-33.463449999999995,-70.64093000000001,63.3
13,2013.5,5.3,259.6607,6.0,-33.46585,-70.64515999999998,63.2
14,2013.0829999999999,38.6,804.6897,4.0,-33.46838,-70.63476999999997,62.9
15,2013.4170000000001,6.4,90.45606,9.0,-33.46432999999999,-70.64309999999998,62.2
16,2013.4170000000001,6.4,90.45606,9.0,-33.46432999999999,-70.64309999999998,62.2
17,2013.5,4.1,56.47425,7.0,-33.44743999999999,-70.63710999999998,62.1
18,2013.1670000000001,3.6,373.8389,10.0,-33.47322,-70.63765,61.9
19,2013.5829999999999,35.9,640.7391,3.0,-33.46562999999999,-70.63714999999998,61.5
20,2013.25,3.8,383.8624,5.0,-33.47085,-70.64390999999998,60.7
21,2013.0829999999999,41.3,124.9912,6.0,-33.45674,-70.64039,60.7
22,2012.917,23.5,423,,nan,nan,60.0
23,2013.333,23.5,423,,nan,nan,60.0
24,2013.5,16.6,289.3248,5.0,-33.47203,-70.64348000000001,59.6
25,2013.4170000000001,6.4,90.45606,9.0,-33.46432999999999,-70.64309999999998,59.5
26,2013.5829999999999,6.6,90.45606,9.0,-33.46432999999999,-70.64309999999998,59.0
27,2013.0829999999999,3.6,383.8624,5.0,-33.47085,-70.64390999999998,58.8
28,2013.5829999999999,6.6,90.45606,9.0,-33.46432999999999,-70.64309999999998,58.1
29,2013.3329999999999,6.3,90.45606,9.0,-33.46432999999999,-70.64309999999998,58.1
30,2013.0829999999999,6.2,90.45606,9.0,-33.46432999999999,-70.64309999999998,58.0
31,2012.9170000000001,3.5,49.66105,8.0,-33.448359999999994,-70.63756,57.8
32,2012.9170000000001,9.9,279.1726,7.0,-33.46527999999999,-70.64541,57.4
33,2013.0829999999999,7.1,451.2438,5.0,-33.46562999999999,-70.64694,57.1
34,2013.3329999999999,3.9,49.66105,8.0,-33.448359999999994,-70.63756,56.8
35,2013.5,8.5,104.8101,5.0,-33.45674,-70.64067,56.8
36,2012.9170000000001,5.9,90.45606,9.0,-33.46432999999999,-70.64309999999998,56.3
37,2012.6670000000001,3.1,383.8624,5.0,-33.47085,-70.64390999999998,56.2
